Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte;lat;lon
de-sh;Kiel;Bevoelkerung;31.12.2021;Exerzierplatz;Haushalte;3262.0;755.0;240.0;18;89;151;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31.12.2021;Damperhof;Haushalte;1750.0;372.0;135.0;20;47;73;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31.12.2021;Brunswik;Haushalte;3301.0;705.0;225.0;23;99;155;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31.12.2021;Duesternbrook;Haushalte;767.0;340.0;220.0;67;35;92;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Bluecherplatz;Haushalte;4526.0;1338.0;735.0;92;222;262;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Wik;Haushalte;6154.0;2450.0;1203.0;224;390;488;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31.12.2021;Ravensberg;Haushalte;5788.0;1215.0;493.0;54;173;261;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31.12.2021;Schreventeich;Haushalte;5372.0;1355.0;595.0;84;175;285;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31.12.2021;Suedfriedhof;Haushalte;7304.0;1653.0;578.0;96;229;366;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Gaarden-Ost;Haushalte;6872.0;1235.0;1236.0;200;624;704;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31.12.2021;Gaarden-Sued/Kronsburg;Haushalte;3221.0;1203.0;700.0;157;254;372;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Hassee;Haushalte;4684.0;1372.0;671.0;177;291;395;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31.12.2021;Hasseldieksdamm;Haushalte;651.0;374.0;214.0;68;49;77;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31.12.2021;Ellerbek;Haushalte;1835.0;650.0;430.0;127;124;206;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31.12.2021;Wellingdorf;Haushalte;2576.0;962.0;480.0;98;272;280;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31.12.2021;Holtenau;Haushalte;1441.0;773.0;324.0;96;96;161;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31.12.2021;Pries;Haushalte;1944.0;877.0;481.0;121;231;251;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31.12.2021;Friedrichsort;Haushalte;715.0;203.0;136.0;25;61;69;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31.12.2021;Neumuehlen/Dietrichsdorf;Haushalte;3547.0;1359.0;790.0;181;371;428;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Elmschenhagen;Haushalte;4070.0;2162.0;1223.0;310;457;534;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31.12.2021;Suchsdorf;Haushalte;1836.0;1294.0;811.0;194;179;255;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31.12.2021;Schilksee;Haushalte;1348.0;924.0;247.0;78;70;148;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31.12.2021;Mettenhof;Haushalte;3482.0;1810.0;1773.0;381;605;745;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31.12.2021;Russee;Haushalte;1265.0;1091.0;553.0;160;145;221;54.3016426;10.0665383
