Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2020;11713;4382;678;1904;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2020;5240;3750;668;988;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2020;6781;3748;703;1182;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2020;1178;1253;185;220;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2020;2888;2311;489;631;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2020;3700;2810;631;883;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2020;2584;2242;401;488;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2020;3177;2786;495;809;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2020;961;691;194;230;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2020;6343;4242;822;1155;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2020;7602;7058;983;1550;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2020;3560;4415;625;662;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2020;1400;2515;550;461;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2020;9755;7386;1202;1576;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2020;2596;3512;399;505;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2020;1474;1565;91;162;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2020;875;1025;87;122;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2020;2458;2260;208;439;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2020;146;226;28;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2019;607;346;98;88;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2019;757;323;90;114;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2019;4179;1344;396;490;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2019;2195;719;169;256;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2019;3994;1311;400;520;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2019;1607;1227;154;199;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2019;6649;3206;420;903;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2019;10520;6434;1003;1604;54.3569525;10.1303056
