Land;Stadt;Kategorie;Jahr;Stadtteil;Tuerkei;Polen;Irak;Russland;Ukraine;Syrien;Bulgarien;lat;lon
de-sh;Kiel;Bevoelkerung;2018;Ravensberg;54;43.0;11;35;13;64;8;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2018;Schreventeich;41;25.0;36;20;14;42;4;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2018;Suedfriedhof  ;174;97.0;49;48;36;206;46;;
de-sh;Kiel;Bevoelkerung;2018;Gaarden-Ost ;1349;303.0;524;152;111;1128;1116;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2018;Gaarden-Sued/Kronsburg;163;115.0;65;41;25;234;86;;
de-sh;Kiel;Bevoelkerung;2018;Hassee    ;171;132.0;63;22;9;201;29;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2018;Hasseldieksdamm;12;18.0;3;7;4;3;2;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2018;Ellerbek     ;271;70.0;58;49;10;139;33;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2018;Wellingdorf  ;260;99.0;42;28;20;144;51;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2018;Holtenau   ;33;19.0;175;5;12;301;;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2018;Pries        ;119;47.0;59;34;19;127;4;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2018;Friedrichsort   ;81;20.0;10;8;0;25;0;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2018;Neumuehlen/Dietrichsdorf;468;96.0;148;51;26;515;56;;
de-sh;Kiel;Bevoelkerung;2018;Elmschenhagen;248;146.0;115;26;22;246;31;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2018;Suchsdorf ;24;40.0;25;14;7;18;10;;
de-sh;Kiel;Bevoelkerung;2018;Schilksee  ;9;21.0;4;22;5;24;0;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2018;Mettenhof ;483;404.0;733;210;96;1124;7;;
de-sh;Kiel;Bevoelkerung;2018;Russee    ;36;39.0;18;18;7;38;1;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2018;Meimersdorf  ;31;20.0;6;4;5;1;7;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2018;Moorsee    ;34;10.0;10;3;2;30;1;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2018;Wellsee    ;66;109.0;43;24;6;13;8;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2018;Roenne     ;0;0.0;0;0;0;0;0;;
de-sh;Kiel;Bevoelkerung;2017;Altstadt        ;3;7.0;6;2;0;1;9;;
de-sh;Kiel;Bevoelkerung;2017;Vorstadt      ;14;9.0;8;6;2;13;0;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2017;Exerzierplatz   ;43;39.0;40;11;12;51;21;;
de-sh;Kiel;Bevoelkerung;2017;Damperhof  ;12;19.0;5;2;2;40;5;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2017;Brunswik    ;34;34.0;7;13;6;33;4;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2017;Duesternbrook  ;8;15.0;2;11;7;7;0;;
de-sh;Kiel;Bevoelkerung;2017;Bluecherplatz   ;31;19.0;7;10;6;38;3;;
