Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2021;Roenne;180;17;209;;
de-sh;Kiel;Bevoelkerung;2020;Altstadt;400;109;666;;
de-sh;Kiel;Bevoelkerung;2020;Vorstadt;405;101;770;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2020;Exerzierplatz;2400;469;3544;;
de-sh;Kiel;Bevoelkerung;2020;Damperhof;1154;252;1929;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2020;Brunswik;2375;450;3412;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2020;Duesternbrook;1213;305;1678;;
de-sh;Kiel;Bevoelkerung;2020;Bluecherplatz;4159;810;6261;;
de-sh;Kiel;Bevoelkerung;2020;Wik;6790;1309;11466;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2020;Ravensberg;4701;876;6668;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2020;Schreventeich;4792;846;6206;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2020;Suedfriedhof;5755;1049;8506;;
de-sh;Kiel;Bevoelkerung;2020;Gaarden-Ost;3799;952;13926;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2020;Gaarden-Sued/Kronsburg;3537;682;6427;;
de-sh;Kiel;Bevoelkerung;2020;Hassee;4566;710;7138;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2020;Hasseldieksdamm;1079;206;1551;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2020;Ellerbek;1832;376;4111;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2020;Wellingdorf;2633;456;4935;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2020;Holtenau;2077;331;3307;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2020;Pries;2632;373;4262;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2020;Friedrichsort;707;132;1237;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2020;Neumuehlen/Dietrichsdorf;4063;646;7853;;
de-sh;Kiel;Bevoelkerung;2020;Elmschenhagen;6029;950;10214;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2020;Suchsdorf;3686;623;4953;;
de-sh;Kiel;Bevoelkerung;2020;Schilksee;1775;357;2794;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2020;Mettenhof;4302;1847;13770;;
de-sh;Kiel;Bevoelkerung;2020;Russee;2544;438;4030;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2020;Meimersdorf;1037;173;2082;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2020;Moorsee;685;110;1314;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2020;Wellsee;1661;385;3319;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2020;Roenne;191;15;217;;
de-sh;Kiel;Bevoelkerung;2019;Altstadt;378;108;653;;
de-sh;Kiel;Bevoelkerung;2019;Vorstadt;426;101;757;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2019;Exerzierplatz;2423;479;3507;;
de-sh;Kiel;Bevoelkerung;2019;Damperhof;1173;252;1914;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2019;Brunswik;2432;459;3334;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2019;Duesternbrook;1220;305;1662;;
de-sh;Kiel;Bevoelkerung;2019;Bluecherplatz;4274;803;6101;;
de-sh;Kiel;Bevoelkerung;2019;Wik;6856;1340;11365;54.3569525;10.1303056
