Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte
de-sh;Kiel;Bevoelkerung;31_12_2020;Moorsee;Haushalte;262;243;259;40;36;52
de-sh;Kiel;Bevoelkerung;31_12_2020;Wellsee;Haushalte;1065;619;482;114;145;166
de-sh;Kiel;Bevoelkerung;31_12_2020;Roenne;Haushalte;70;72;34;8;5;19
de-sh;Kiel;Bevoelkerung;31_12_2019;Altstadt;Personen;384;153;46;7;9;43
de-sh;Kiel;Bevoelkerung;31_12_2019;Vorstadt;Personen;657;152;42;4;13;45
de-sh;Kiel;Bevoelkerung;31_12_2019;Exerzierplatz;Personen;3213;717;261;18;79;190
de-sh;Kiel;Bevoelkerung;31_12_2019;Damperhof;Personen;1708;341;140;13;40;99
de-sh;Kiel;Bevoelkerung;31_12_2019;Brunswik;Personen;3252;678;224;34;97;170
de-sh;Kiel;Bevoelkerung;31_12_2019;Duesternbrook;Personen;743;336;231;54;40;104
de-sh;Kiel;Bevoelkerung;31_12_2019;Bluecherplatz;Personen;4390;1297;753;88;216;286
de-sh;Kiel;Bevoelkerung;31_12_2019;Wik;Personen;5865;2428;1227;235;369;532
de-sh;Kiel;Bevoelkerung;31_12_2019;Ravensberg;Personen;5687;1207;487;68;164;292
de-sh;Kiel;Bevoelkerung;31_12_2019;Schreventeich;Personen;5317;1377;597;87;178;322
de-sh;Kiel;Bevoelkerung;31_12_2019;Suedfriedhof;Personen;7257;1597;597;91;244;410
de-sh;Kiel;Bevoelkerung;31_12_2019;Gaarden-Ost;Personen;6593;1176;1233;217;650;729
de-sh;Kiel;Bevoelkerung;31_12_2019;Gaarden-Sued/Kronsburg;Personen;3173;1181;701;149;261;382
de-sh;Kiel;Bevoelkerung;31_12_2019;Hassee;Personen;4570;1369;685;164;285;436
de-sh;Kiel;Bevoelkerung;31_12_2019;Hasseldieksdamm;Personen;657;364;221;62;42;90
de-sh;Kiel;Bevoelkerung;31_12_2019;Ellerbek;Personen;1742;685;449;117;133;224
de-sh;Kiel;Bevoelkerung;31_12_2019;Wellingdorf;Personen;2475;971;468;110;284;292
de-sh;Kiel;Bevoelkerung;31_12_2019;Holtenau;Personen;1387;768;315;95;104;168
de-sh;Kiel;Bevoelkerung;31_12_2019;Pries;Personen;1856;875;491;127;239;274
de-sh;Kiel;Bevoelkerung;31_12_2019;Friedrichsort;Personen;723;221;136;23;52;71
